क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,इडागम,धातु
१.१,भ्वादि,भू,सत्ता॑याम्,[],परस्मैपदी,सेट्,भू
१.२,भ्वादि,एधँ॒,वृद्धौ॑,['अ'],आत्मनेपदी,सेट्,एध्
१.३,भ्वादि,स्पर्धँ॒,सङ्घ॒र्षे,['अ'],आत्मनेपदी,सेट्,स्पर्ध्
१.४,भ्वादि,गाधृँ॒,प्रतिष्ठालि॒प्सयो॑र्ग्र॒न्थे,['ऋ'],आत्मनेपदी,सेट्,गाध्
१.५,भ्वादि,बाधृँ॒,लोड॑ने,['ऋ'],आत्मनेपदी,सेट्,बाध्
१.६,भ्वादि,नाधृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,सेट्,नाध्
१.७,भ्वादि,नाथृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,सेट्,नाथ्
१.८,भ्वादि,दधँ॒,धार॑णे,['अ'],आत्मनेपदी,सेट्,दध्
१.९,भ्वादि,स्कुदिँ॒,आ॒प्रव॑णे,['इ'],आत्मनेपदी,सेट्,स्कुन्द्
१.१०,भ्वादि,श्विदिँ॒,श्वैत्ये॑,['इ'],आत्मनेपदी,सेट्,श्विन्द्
१.११,भ्वादि,वदिँ॒,अभिवादनस्तु॒त्योः,['इ'],आत्मनेपदी,सेट्,वन्द्
१.१२,भ्वादि,भदिँ॒,क॒ल्याणे॑ सु॒खे च॑,['इ'],आत्मनेपदी,सेट्,भन्द्
१.१३,भ्वादि,मदिँ॒,स्तुतिमोदमदस्वप्नकान्तिग॒तिषु॑,['इ'],आत्मनेपदी,सेट्,मन्द्
१.१४,भ्वादि,स्पदिँ॒,किञ्चि॒च्चल॑ने,['इ'],आत्मनेपदी,सेट्,स्पन्द्
१.१५,भ्वादि,क्लिदिँ॒,परि॒देव॑ने,['इ'],आत्मनेपदी,सेट्,क्लिन्द्
१.१६,भ्वादि,मुदँ॒,हर्षे॑,['अ'],आत्मनेपदी,सेट्,मुद्
१.१७,भ्वादि,ददँ॒,दा॒ने,['अ'],आत्मनेपदी,सेट्,दद्
१.१८,भ्वादि,ष्वदँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,सेट्,स्वद्
१.१९,भ्वादि,स्वर्दँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,सेट्,स्वर्द्
१.२०,भ्वादि,उर्दँ॒,माने॑ क्री॒डायां॑ च,['अ'],आत्मनेपदी,सेट्,उर्द्
१.२१,भ्वादि,कुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,सेट्,कुर्द्
१.२२,भ्वादि,खुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,सेट्,खुर्द्
१.२३,भ्वादि,गुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,सेट्,गुर्द्
१.२४,भ्वादि,गुदँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,सेट्,गुद्
१.२५,भ्वादि,षूदँ॒,क्षर॑णे,['अ'],आत्मनेपदी,सेट्,सूद्
१.२६,भ्वादि,ह्रादँ॒,अव्य॑क्ते॒ शब्दे॑,['अ'],आत्मनेपदी,सेट्,ह्राद्
१.२७,भ्वादि,ह्लादीँ॒,सु॒खे च॑,['ई'],आत्मनेपदी,सेट्,ह्लाद्
१.२८,भ्वादि,स्वादँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,सेट्,स्वाद्
१.२९,भ्वादि,पर्दँ॒,कुत्सि॒ते शब्दे॑,['अ'],आत्मनेपदी,सेट्,पर्द्
१.३०,भ्वादि,यतीँ॒,प्रय॒त्ने,['ई'],आत्मनेपदी,सेट्,यत्
१.३१,भ्वादि,युतृँ॒,भास॑ने,['ऋ'],आत्मनेपदी,सेट्,युत्
१.३२,भ्वादि,जुतृँ॒,भास॑ने,['ऋ'],आत्मनेपदी,सेट्,जुत्
१.३३,भ्वादि,विथृँ॒,याच॑ने,['ऋ'],आत्मनेपदी,सेट्,विथ्
१.३४,भ्वादि,वेथृँ॒,याच॑ने,['ऋ'],आत्मनेपदी,सेट्,वेथ्
१.३५,भ्वादि,श्रथिँ॒,शैथि॑ल्ये,['इ'],आत्मनेपदी,सेट्,श्रन्थ्
१.३६,भ्वादि,ग्रथिँ॒,कौटि॑ल्ये,['इ'],आत्मनेपदी,सेट्,ग्रन्थ्
१.३७,भ्वादि,कत्थँ॒,श्ला॒घाया॑म्,['अ'],आत्मनेपदी,सेट्,कत्थ्
१.३८,भ्वादि,अतँ,सात॑त्यगमने,['अ'],परस्मैपदी,सेट्,अत्
१.३९,भ्वादि,चितीँ,स॒ञ्ज्ञाने॑,['ई'],परस्मैपदी,सेट्,चित्
१.४०,भ्वादि,च्युतिँर्,आ॒सेच॑ने,['इर्'],परस्मैपदी,सेट्,च्युत्
१.४१,भ्वादि,श्चुतिँर्,इत्येके॑,['इर्'],परस्मैपदी,सेट्,श्चुत्
१.४२,भ्वादि,श्च्युतिँर्,क्षर॑णे,['इर्'],परस्मैपदी,सेट्,श्च्युत्
१.४३,भ्वादि,ज्युतिँर्,भास॑ने,['इर्'],परस्मैपदी,सेट्,ज्युत्
१.४४,भ्वादि,मन्थँ,वि॒लोड॑ने,['अ'],परस्मैपदी,सेट्,मन्थ्
१.४५,भ्वादि,कुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,सेट्,कुन्थ्
१.४६,भ्वादि,पुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,सेट्,पुन्थ्
१.४७,भ्वादि,लुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,सेट्,लुन्थ्
१.४८,भ्वादि,मथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,सेट्,मन्थ्
१.४९,भ्वादि,षिधँ,गत्या॑म्,['अ'],परस्मैपदी,सेट्,सिध्
१.५०,भ्वादि,षिधूँ,शा॒स्त्रे माङ्ग॑ल्ये च,['ऊ'],परस्मैपदी,वेट्,सिध्
१.५१,भ्वादि,खादृँ,भक्ष॑णे,['ऋ'],परस्मैपदी,सेट्,खाद्
१.५२,भ्वादि,खदँ,स्थैर्ये॑ हिं॒सायां॑ च,['अ'],परस्मैपदी,सेट्,खद्
१.५३,भ्वादि,बदँ,स्थैर्ये॑,['अ'],परस्मैपदी,सेट्,बद्
१.५४,भ्वादि,गदँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,गद्
१.५५,भ्वादि,रदँ,वि॒लेख॑ने,['अ'],परस्मैपदी,सेट्,रद्
