क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,धातु,इडागम
१.१,भ्वादि,भू,सत्ता॑याम्,[],परस्मैपदी,भू,सेट्
१.२,भ्वादि,एधँ॒,वृद्धौ॑,['अ'],आत्मनेपदी,एध्,सेट्
१.३,भ्वादि,स्पर्धँ॒,सङ्घ॒र्षे,['अ'],आत्मनेपदी,स्पर्ध्,सेट्
१.४,भ्वादि,गाधृँ॒,प्रतिष्ठालि॒प्सयो॑र्ग्र॒न्थे,['ऋ'],आत्मनेपदी,गाध्,सेट्
१.५,भ्वादि,बाधृँ॒,लोड॑ने,['ऋ'],आत्मनेपदी,बाध्,सेट्
१.६,भ्वादि,नाधृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,नाध्,सेट्
१.७,भ्वादि,नाथृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,नाथ्,सेट्
१.८,भ्वादि,दधँ॒,धार॑णे,['अ'],आत्मनेपदी,दध्,सेट्
१.९,भ्वादि,स्कुदिँ॒,आ॒प्रव॑णे,['इ'],आत्मनेपदी,स्कुन्द्,सेट्
१.१०,भ्वादि,श्विदिँ॒,श्वैत्ये॑,['इ'],आत्मनेपदी,श्विन्द्,सेट्
१.११,भ्वादि,वदिँ॒,अभिवादनस्तु॒त्योः,['इ'],आत्मनेपदी,वन्द्,सेट्
१.१२,भ्वादि,भदिँ॒,क॒ल्याणे॑ सु॒खे च॑,['इ'],आत्मनेपदी,भन्द्,सेट्
१.१३,भ्वादि,मदिँ॒,स्तुतिमोदमदस्वप्नकान्तिग॒तिषु॑,['इ'],आत्मनेपदी,मन्द्,सेट्
१.१४,भ्वादि,स्पदिँ॒,किञ्चि॒च्चल॑ने,['इ'],आत्मनेपदी,स्पन्द्,सेट्
१.१५,भ्वादि,क्लिदिँ॒,परि॒देव॑ने,['इ'],आत्मनेपदी,क्लिन्द्,सेट्
१.१६,भ्वादि,मुदँ॒,हर्षे॑,['अ'],आत्मनेपदी,मुद्,सेट्
१.१७,भ्वादि,ददँ॒,दा॒ने,['अ'],आत्मनेपदी,दद्,सेट्
१.१८,भ्वादि,ष्वदँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,स्वद्,सेट्
१.१९,भ्वादि,स्वर्दँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,स्वर्द्,सेट्
१.२०,भ्वादि,उर्दँ॒,माने॑ क्री॒डायां॑ च,['अ'],आत्मनेपदी,उर्द्,सेट्
